State;Rates;Brackets;Standard Deduction;Personal Exemption;;;;;;;;
Alabama;2.00%;$0;$3,000;$1,500;;;;;;;;
Alabama;4.00%;$500;$3,000;$1,500;;;;;;;;
Alabama;5.00%;$3,000;$3,000;$1,500;;;;;;;;
Alaska;0;0;0;0;;;;;;;;
Arizona;2.50%;$0;$15,000;$0;;;;;;;;
Arkansas;2.00%;$0;$2,410 ;$29 credit;;;;;;;;
Arkansas;3.90%;$4,500;$2,410 ;$29 credit;;;;;;;;
California;1.00%;$0;$5,540;$149 credit;;;;;;;;
California;2.00%;$10,756;$5,540;$149 credit;;;;;;;;
California;4.00%;$25,499;$5,540;$149 credit;;;;;;;;
California;6.00%;$40,245;$5,540;$149 credit;;;;;;;;
California;8.00%;$55,866;$5,540;$149 credit;;;;;;;;
California;9.30%;$70,606;$5,540;$149 credit;;;;;;;;
California;10.30%;$360,659;$5,540;$149 credit;;;;;;;;
California;11.30%;$432,787;$5,540;$149 credit;;;;;;;;
California;12.30%;$721,314;$5,540;$149 credit;;;;;;;;
California;13.30%;$1,000,000;$5,540;$149 credit;;;;;;;;
Colorado;4.40%;$0 ;$15,000;0;;;;;;;;
Connecticut;2.00%;$0;0;$15,000;;;;;;;;
Connecticut;4.50%;$10,000;0;$15,000;;;;;;;;
Connecticut;5.50%;$50,000;0;$15,000;;;;;;;;
Connecticut;6.00%;$100,000;0;$15,000;;;;;;;;
Connecticut;6.50%;$200,000;0;$15,000;;;;;;;;
Connecticut;6.90%;$250,000;0;$15,000;;;;;;;;
Connecticut;6.99%;$500,000;0;$15,000;;;;;;;;
Delaware;2.20%;$2,000;$3,250;$110 credit;;;;;;;;
Delaware;3.90%;$5,000;$3,250;$110 credit;;;;;;;;
Delaware;4.80%;$10,000;$3,250;$110 credit;;;;;;;;
Delaware;5.20%;$20,000;$3,250;$110 credit;;;;;;;;
Delaware;5.55%;$25,000;$3,250;$110 credit;;;;;;;;
Delaware;6.60%;$60,000;$3,250;$110 credit;;;;;;;;
Florida;0;0;0;0;;;;;;;;
Georgia;5.39%;$0;$12,000 ;0;;;;;;;;
Hawaii;1.40%;$0;$4,400;$1,144;;;;;;;;
Hawaii;3.20%;$9,600;$4,400;$1,144;;;;;;;;
Hawaii;5.50%;$14,400;$4,400;$1,144;;;;;;;;
Hawaii;6.40%;$19,200;$4,400;$1,144;;;;;;;;
Hawaii;6.80%;$24,000;$4,400;$1,144;;;;;;;;
Hawaii;7.20%;$36,000;$4,400;$1,144;;;;;;;;
Hawaii;7.60%;$48,000;$4,400;$1,144;;;;;;;;
Hawaii;7.90%;$125,000;$4,400;$1,144;;;;;;;;
Hawaii;8.25%;$175,000;$4,400;$1,144;;;;;;;;
Hawaii;9.00%;$225,000;$4,400;$1,144;;;;;;;;
Hawaii;10.00%;$275,000;$4,400;$1,144;;;;;;;;
Hawaii;11.00%;$325,000;$4,400;$1,144;;;;;;;;
Idaho;5.695%;$4,673;$15,000;0;;;;;;;;
Illinois;4.95%;$0;0;$2,850;;;;;;;;
Indiana;3.00%;$0;0;$1,000;;;;;;;;
Iowa;3.80%;$0;0;$40 credit;;;;;;;;
Kansas;5.20%;$0;$3,605;$9,160;;;;;;;;
Kansas;5.58%;$23,000;$3,605;$9,160;;;;;;;;
Kentucky;4.00%;$0;$3,270;0;;;;;;;;
Louisiana;3.00%;$0;$12,500 ;$0;;;;;;;;
Maine;5.80%;$0;$15,000;$5,150;;;;;;;;
Maine;6.75%;$26,800;$15,000;$5,150;;;;;;;;
Maine;7.15%;$63,450;$15,000;$5,150;;;;;;;;
Maryland;2.00%;$0;$2,700;$3,200;;;;;;;;
Maryland;3.00%;$1,000;$2,700;$3,200;;;;;;;;
Maryland;4.00%;$2,000;$2,700;$3,200;;;;;;;;
Maryland;4.75%;$3,000;$2,700;$3,200;;;;;;;;
