"stateFlagCode","state","MedianHouseholdIncomeInOnePersonHousehold_2023","MedianHouseholdIncomeInTwoPersonHousehold_2023","MedianHouseholdIncomeInThreePersonHousehold_2023","MedianHouseholdIncomeInFourPersonHousehold_2023"
,"District of Columbia",75814,147683,183198,215972
,"Maryland",52519,109285,125724,150702
,"California",50251,101959,113943,128813
,"Colorado",49447,104126,121291,140677
,"New Jersey",48523,104651,130685,156487
,"Washington",48386,102278,122578,141412
,"Alaska",46819,99684,110198,123648
,"Virginia",46767,97690,116222,136949
,"Massachusetts",45920,110054,136213,165180
,"New Hampshire",45746,101660,132981,148366
,"Utah",44905,91564,107250,119711
,"Hawaii",44402,96717,116925,136006
,"Connecticut",44224,101926,126016,155623
,"Minnesota",43172,95091,121094,138690
,"New York",42397,92003,110523,130304
,"Rhode Island",42225,95211,113022,136111
,"Delaware",42168,91967,108094,114470
,"Nevada",42034,83781,99853,106361
,"Illinois",41888,89614,106922,127556
,"Texas",41661,82953,94007,108349
,"Arizona",41272,84639,104058,109740
,"Georgia",40028,80832,97265,110713
,"Wisconsin",39966,85204,107009,121491
,"Oregon",39791,88006,108524,120322
,"North Dakota",39690,90331,104323,129866
,"Vermont",39613,92927,115411,130141
,"Florida",39438,80838,93493,105796
,"Nebraska",38276,86488,100273,116960
,"North Carolina",38073,80086,94037,108511
,"Pennsylvania",37725,83380,102837,121529
,"South Dakota",37260,89377,97793,116586
,"Iowa",37172,82299,98013,111253
,"Michigan",36687,77586,95706,114734
,"Indiana",36674,76837,94883,108669
,"Ohio",36615,79056,96406,112665
,"South Carolina",36564,77269,89265,99074
,"Kansas",36534,81039,91473,110751
,"Missouri",36283,78158,96521,104999
,"Tennessee",36264,77242,91602,105519
,"Maine",36001,83183,102041,114289
,"New Mexico",35969,72741,77542,89897
,"Idaho",35951,79067,95484,109375
,"Montana",35369,79064,95657,112129
,"Oklahoma",32704,71354,84133,93300
,"Kentucky",31481,68305,83346,101763
,"Alabama",31232,71147,81625,98498
,"Arkansas",30682,65773,79318,94893
,"Louisiana",29921,68837,77447,96211
,"West Virginia",29140,64510,77797,91956
,"Mississippi",27205,62406,76637,86519
,"Wyoming",,80231,94718,107459
,"United States",41398.543882927996,87614.85382752022,103705.07030469393,119940.24266905074
