state,median_income,credit,personal_exemption_clean,rate,lower,upper
Alabama,31232,0,1500,0.02,0,500
Alabama,31232,0,1500,0.04,500,3000
Alabama,31232,0,1500,0.05,3000,
Alaska,46819,0,0,0,0,
Arizona,41272,0,0,0.025,0,
Arkansas,30682,29,0,0.02,0,4500
Arkansas,30682,29,0,0.039,4500,
California,50251,149,0,0.01,0,10756
California,50251,149,0,0.02,10756,25499
California,50251,149,0,0.04,25499,40245
California,50251,149,0,0.06,40245,55866
California,50251,149,0,0.08,55866,70606
California,50251,149,0,0.093000000000000013,70606,360659
California,50251,149,0,0.10300000000000001,360659,432787
California,50251,149,0,0.113,432787,721314
California,50251,149,0,0.12300000000000001,721314,1000000
California,50251,149,0,0.133,1000000,
Colorado,49447,0,0,0.044000000000000004,0,
Connecticut,44224,0,15000,0.02,0,10000
Connecticut,44224,0,15000,0.045,10000,50000
Connecticut,44224,0,15000,0.055,50000,100000
Connecticut,44224,0,15000,0.06,100000,200000
Connecticut,44224,0,15000,0.065,200000,250000
Connecticut,44224,0,15000,0.069,250000,500000
Connecticut,44224,0,15000,0.0699,500000,
Delaware,42168,110,0,0.022000000000000002,2000,5000
Delaware,42168,110,0,0.039,5000,10000
Delaware,42168,110,0,0.048,10000,20000
Delaware,42168,110,0,0.052000000000000005,20000,25000
Delaware,42168,110,0,0.0555,25000,60000
Delaware,42168,110,0,0.066,60000,
District of Columbia,75814,0,0,0.04,0,10000
District of Columbia,75814,0,0,0.06,10000,40000
District of Columbia,75814,0,0,0.065,40000,60000
District of Columbia,75814,0,0,0.085,60000,250000
District of Columbia,75814,0,0,0.0925,250000,500000
District of Columbia,75814,0,0,0.0975,500000,1000000
District of Columbia,75814,0,0,0.1075,1000000,
Florida,39438,0,0,0,0,
Georgia,40028,0,0,0.053899999999999997,0,
Hawaii,44402,0,1144,0.013999999999999999,0,9600
Hawaii,44402,0,1144,0.032,9600,14400
Hawaii,44402,0,1144,0.055,14400,19200
Hawaii,44402,0,1144,0.064,19200,24000
Hawaii,44402,0,1144,0.068,24000,36000
Hawaii,44402,0,1144,0.072000000000000008,36000,48000
Hawaii,44402,0,1144,0.076,48000,125000
Hawaii,44402,0,1144,0.079,125000,175000
Hawaii,44402,0,1144,0.0825,175000,225000
Hawaii,44402,0,1144,0.09,225000,275000
Hawaii,44402,0,1144,0.1,275000,325000
Hawaii,44402,0,1144,0.11,325000,
Idaho,35951,0,0,0.057,4673,
Illinois,41888,0,2850,0.0495,0,
Indiana,36674,0,1000,0.03,0,
Iowa,37172,40,0,0.038,0,
Kansas,36534,0,9160,0.052000000000000005,0,23000
Kansas,36534,0,9160,0.0558,23000,
Kentucky,31481,0,0,0.04,0,
Louisiana,29921,0,0,0.03,0,
Maine,36001,0,5150,0.057999999999999996,0,26800
Maine,36001,0,5150,0.0675,26800,63450
Maine,36001,0,5150,0.071500000000000008,63450,
Maryland,52519,0,3200,0.02,0,1000
Maryland,52519,0,3200,0.03,1000,2000
Maryland,52519,0,3200,0.04,2000,3000
Maryland,52519,0,3200,0.0475,3000,100000
Maryland,52519,0,3200,0.05,100000,125000
Maryland,52519,0,3200,0.0525,125000,150000
